t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs,L_roll,L_pitch,L_yaw,L_relativeRoll,L_relativePitch,L_relativeYaw
304659.800,-0.970,0.057,0.040,0.234,79,60,54,63,9,0,41,42,0,0.000,0,0,134.266,1.841,-20.540,130.400,-24.520,-0.006,-0.050,0.988,1.038,-1.520,-0.302,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-7.429,-2.902,27.299,-7.429,-2.902,27.299
304664.799,-0.970,0.055,0.045,0.233,83,85,77,81,21,0,37,41,0,0.000,0,0,128.114,1.790,-23.960,123.560,-23.920,-0.010,-0.037,0.995,1.166,-1.358,-0.294,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-7.306,-3.530,27.260,-7.306,-3.530,27.260
304669.799,-0.970,0.052,0.049,0.233,59,59,77,62,9,0,39,40,0,0.000,0,0,119.714,1.673,-27.300,114.340,-22.640,-0.019,-0.023,0.993,1.166,-1.200,-0.216,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-7.167,-4.111,27.219,-7.167,-4.111,27.219
304674.799,-0.970,0.050,0.054,0.232,53,89,60,49,43,2,56,19,0,0.000,0,0,109.920,1.525,-27.000,104.340,-21.600,-0.021,-0.008,0.990,1.100,-1.056,-0.216,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-7.028,-4.641,27.176,-7.028,-4.641,27.176
304679.799,-0.970,0.048,0.057,0.231,69,64,83,67,22,0,59,37,0,0.000,0,0,98.035,1.391,-22.540,93.220,-20.320,-0.028,-0.007,0.991,1.080,-0.876,-0.214,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-6.911,-5.116,27.132,-6.911,-5.116,27.132
304684.799,-0.970,0.047,0.061,0.231,59,95,65,49,45,4,39,17,0,0.000,0,0,84.699,1.366,-16.740,81.080,-17.880,-0.045,-0.003,0.998,1.076,-0.842,-0.210,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-6.823,-5.529,27.091,-6.823,-5.529,27.091
304689.799,-0.970,0.045,0.064,0.230,87,91,52,59,20,0,30,18,0,0.000,0,0,71.817,1.292,-10.400,69.240,-15.980,-0.062,-0.005,1.007,0.980,-0.842,-0.120,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-6.766,-5.882,27.053,-6.766,-5.882,27.053
304694.799,-0.970,0.044,0.066,0.230,88,90,60,76,20,0,38,28,0,0.000,0,0,60.591,1.281,-4.720,58.680,-14.340,-0.071,-0.008,1.014,0.902,-0.910,-0.024,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-6.738,-6.181,27.016,-6.738,-6.181,27.016
304699.801,-0.970,0.044,0.068,0.229,59,71,81,79,24,0,40,51,0,0.000,0,0,50.612,1.304,-0.640,49.160,-12.020,-0.071,-0.010,1.014,0.902,-0.942,0.044,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-6.727,-6.431,26.984,-6.727,-6.431,26.984
304704.799,-0.970,0.043,0.070,0.229,84,75,85,83,21,0,40,44,0,0.000,0,0,41.781,1.328,1.860,40.740,-9.080,-0.066,-0.009,1.009,0.936,-0.942,0.044,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-6.721,-6.634,26.962,-6.721,-6.634,26.962
304709.799,-0.970,0.043,0.071,0.229,52,83,83,41,39,0,69,23,0,0.000,0,0,33.044,1.343,3.640,32.260,-6.160,-0.061,-0.009,1.001,0.998,-0.898,-0.010,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-6.716,-6.789,26.949,-6.716,-6.789,26.949
