t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs,L_roll,L_pitch,L_yaw,L_relativeRoll,L_relativePitch,L_relativeYaw
11720.811,1.000,0.018,-0.000,0.000,73,71,93,73,28,0,43,45,0,0.000,0,0,0.085,0.003,0.020,-0.020,0.080,-0.002,-0.039,1.002,0.002,-0.002,0.000,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,2.111,-0.043,-0.001,2.111,-0.043,-0.001
11725.811,1.000,0.018,-0.000,0.000,77,69,87,47,23,3,61,52,0,0.000,0,0,0.092,0.003,0.080,0.040,0.020,0.000,-0.037,1.001,0.002,-0.002,0.000,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,2.111,-0.043,-0.001,2.111,-0.043,-0.001
11730.811,1.000,0.018,-0.000,0.000,77,69,86,77,28,0,43,53,0,0.000,0,0,0.049,0.010,0.020,0.040,0.020,-0.001,-0.037,1.002,-0.008,-0.006,0.000,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,2.111,-0.043,-0.001,2.111,-0.043,-0.001
11735.811,1.000,0.018,-0.000,0.000,70,107,67,51,51,4,69,23,0,0.000,0,0,0.035,0.008,0.020,-0.020,0.020,-0.001,-0.037,1.003,-0.008,-0.002,0.000,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,2.111,-0.043,-0.001,2.111,-0.043,-0.001
11740.811,1.000,0.018,-0.000,0.000,60,87,89,47,42,9,75,20,0,0.000,0,0,0.092,0.008,0.080,0.040,0.020,-0.001,-0.037,1.004,-0.008,0.000,0.004,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,2.111,-0.043,-0.001,2.111,-0.043,-0.001
11745.811,1.000,0.018,-0.000,0.000,55,93,55,37,37,5,62,21,0,0.000,0,0,0.035,0.008,0.020,-0.020,0.020,0.000,-0.036,1.004,-0.008,0.000,0.014,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,2.111,-0.043,-0.001,2.111,-0.043,-0.001
11750.811,1.000,0.018,-0.000,0.000,77,81,79,77,29,0,83,44,0,0.000,0,0,0.085,0.009,0.080,-0.020,0.020,-0.002,-0.036,1.002,-0.008,0.004,0.014,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,2.111,-0.043,-0.001,2.111,-0.043,-0.001
11755.813,1.000,0.018,-0.000,0.000,67,87,85,49,40,2,79,22,0,0.000,0,0,0.035,0.014,0.020,-0.020,0.020,0.000,-0.036,1.001,0.012,0.008,-0.002,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,2.111,-0.043,-0.001,2.111,-0.043,-0.001
11760.811,1.000,0.018,-0.000,0.000,85,101,68,54,41,0,43,19,0,0.000,0,0,0.092,0.011,-0.040,-0.080,0.020,-0.001,-0.037,1.002,-0.008,0.008,-0.002,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,2.111,-0.043,-0.001,2.111,-0.043,-0.001
11765.811,1.000,0.018,-0.000,0.000,57,63,83,81,28,0,45,44,0,0.000,0,0,0.180,0.012,0.080,-0.080,0.140,0.001,-0.037,1.004,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,2.111,-0.043,-0.001,2.111,-0.043,-0.001
11770.812,1.000,0.018,-0.000,0.000,77,99,65,49,43,10,40,13,0,0.000,0,0,0.180,0.008,-0.160,-0.020,0.080,-0.002,-0.036,1.002,-0.008,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,2.111,-0.043,-0.001,2.111,-0.043,-0.001
11775.811,1.000,0.018,-0.000,0.000,87,97,61,72,41,4,39,28,0,0.000,0,0,0.222,0.008,-0.100,-0.140,0.140,0.000,-0.037,1.003,0.008,0.000,0.008,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,2.111,-0.043,-0.001,2.111,-0.043,-0.001
11780.811,1.000,0.018,-0.000,0.000,59,64,85,39,39,5,73,10,0,0.000,0,0,0.196,0.008,-0.160,-0.080,0.080,-0.001,-0.037,1.003,-0.008,0.000,0.008,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,2.111,-0.043,-0.001,2.111,-0.043,-0.001
11785.811,1.000,0.018,-0.000,0.000,86,99,69,81,20,0,45,55,0,0.000,0,0,0.247,0.003,-0.040,-0.200,0.140,-0.001,-0.037,1.002,-0.002,-0.002,0.008,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,2.111,-0.043,-0.001,2.111,-0.043,-0.001
11790.811,1.000,0.018,-0.000,0.000,55,69,97,73,28,2,77,52,0,0.000,0,0,0.199,0.002,0.020,-0.140,0.140,-0.001,-0.036,1.003,-0.002,0.000,0.008,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,2.111,-0.043,-0.001,2.111,-0.043,-0.001
11795.811,1.000,0.018,-0.000,0.000,81,73,83,75,20,0,47,52,0,0.000,0,0,0.202,0.003,-0.040,-0.140,0.140,0.000,-0.038,1.001,-0.002,-0.002,-0.002,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,2.111,-0.043,-0.001,2.111,-0.043,-0.001
11800.812,1.000,0.018,-0.000,0.000,70,59,88,25,47,9,77,29,0,0.000,0,0,0.219,0.004,-0.040,-0.200,0.080,-0.002,-0.036,1.001,-0.002,0.004,-0.016,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,2.111,-0.043,-0.001,2.111,-0.043,-0.001
11805.811,1.000,0.018,-0.000,0.000,56,84,57,43,40,7,64,11,0,0.000,0,0,0.413,0.006,0.080,-0.380,0.140,-0.001,-0.037,1.004,-0.006,0.000,-0.016,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,2.111,-0.043,-0.001,2.111,-0.043,-0.001
